"","Test Values: Victim Total","Test Predictions: Victim Total"
"2279",69,44.8986841269841
"2283",47,40.0508377005347
"2288",37,34.1052292649473
"2292",47,44.4480736196552
"2293",37,37.9646018485138
"2295",37,27.9545072091856
"2297",23,35.2255989793103
"2306",69,45.8252458891109
"2307",23,26.1562339471432
"2313",47,37.6987928587302
"2315",74,41.3616633557287
"2316",10,37.191874151246
"2319",64,44.1453333333333
"2324",23,47.7010831572568
"2327",23,42.439221060782
"2330",64,33.7412614782365
"2333",23,34.4634044565797
"2346",47,40.4901796159669
"2347",23,30.5781651736856
"2348",37,40.432
"2349",47,34.2326740740741
"2351",56,37.7394333333333
"2354",23,34.200218055648
"2355",47,41.0088952758112
"2356",56,45.0308436507937
"2361",37,36.3104932289932
"2363",19,35.725216838978
"2373",23,40.7413158730159
"2376",56,48.0127937986867
"2380",17,25.0816002775976
"2382",37,44.4125888888889
"2384",23,27.418420995671
"2389",23,41.5001885534693
"2390",23,31.4573446792973
"2391",23,31.3094479710147
"2397",56,40.5495805555556
"2399",47,32.2144042250807
"2401",23,58.2122489183204
"2403",23,30.5532981829298
"2405",37,43.1745729326229
"2406",6,42.7939515306331
"2407",23,39.6539620999439
"2410",23,33.530765852568
"2414",56,50.3886361590343
"2419",23,34.8085873015873
"2423",64,39.8880420249599
"2426",73,44.4997243145743
"2427",64,33.6424520786231
"2428",64,32.1578404789648
"2430",23,34.2416441876751
"2433",47,38.8869296854866
"2434",37,33.0278899509059
"2435",2,42.9459903030303
"2441",23,33.9664613056933
"2443",74,49.3879095742561
"2446",8,35.3040958874459
"2449",23,37.0435105615967
"2456",37,43.9596869801445
"2457",69,34.9902735611238
"2459",43,44.6103746031746
"2467",37,40.5655609455904
"2470",37,41.6970627407878
"2471",37,34.5969847564566
"2479",23,31.5374394115001
"2480",56,41.2933280324251
"2482",47,43.2543480722981
"2483",47,33.5358861669462
"2484",23,35.9751924369748
"2485",23,32.186991424941
"2486",23,31.0108508802446
"2487",37,48.5597809238883
"2489",23,30.4247628231934
"2490",37,36.6759220700352
"2491",47,41.5883
"2492",23,26.831616026533
"2493",64,45.3379333333333
"2495",73,38.0513302424957
"2496",73,33.9905046279343
"2498",36,50.1645716035999
"2499",23,33.0762047927958
"2501",37,35.9357435064935
"2504",44,42.3436644017246
"2511",56,36.6424795141578
"2512",23,41.3549206904207
"2513",23,28.6358609928393
"2518",69,31.6649426992033
"2522",64,37.123490015622
"2523",69,29.0142695612712
"2532",23,30.4247628231934
"2534",23,33.0485906928653
"2540",47,40.2815604524131
"2542",37,28.4153390381268
"2543",47,41.3047586467137
"2544",23,29.1821838112197
"2548",47,34.9008719925629
"2549",8,41.7268325692677
"2553",47,38.0519834323874
"2555",23,31.9645250601457
"2560",23,37.9894463676674
"2563",37,30.570061514682
"2565",23,31.0195762149752
"2567",37,39.6803923076923
"2569",1,23.2660129688473
"2571",56,34.4585392744434
"2575",47,33.2270655624908
"2581",23,30.8588228280906
"2582",23,38.7766516128095
"2585",10,50.2616042679543
"2587",23,35.9995939527793
"2590",23,32.0434554912143
"2593",23,35.7073361719983
"2600",47,42.482861140839
"2602",10,34.4634044565797
"2606",74,39.6740135028493
"2610",37,46.8731519672399
"2611",56,38.7647784992064
"2612",23,30.9860628801024
"2613",37,38.9467006799326
"2617",69,27.7559236815472
"2619",23,36.9974016407968
"2620",56,43.6334071764751
"2625",1,34.2837570947759
"2627",56,36.8149066191119
"2628",47,46.3456544059999
"2629",1,23.2660129688473
"2630",13,21.8779566133592
"2631",47,45.9665364310526
"2632",64,39.3313412698413
"2638",10,30.4367271794283
"2639",64,38.5835769230769
"2642",23,34.4634044565797
"2644",37,44.8879514613513
"2647",10,33.8772902377858
"2648",23,35.3698649603664
"2652",6,33.4645603866585
"2655",23,38.5486582151437
"2657",64,37.0609373517097
"2660",22,42.6828353966749
"2662",56,39.1453519906156
"2663",47,37.5605333607101
"2664",8,38.5798348946833
"2666",37,43.9941190476191
"2668",23,36.5721698412698
"2671",37,34.5745179492602
"2673",37,37.9721452380953
"2679",23,37.3816802948264
"2691",23,32.1158734712169
"2693",47,49.8876519377767
"2694",47,44.8879514613513
"2697",24,23.2660129688473
"2703",47,37.2082051587302
"2707",47,31.7568652035808
"2709",73,36.9357739766082
"2712",37,42.7234368991432
"2713",23,34.4424238442194
"2716",64,41.8992731851482
"2717",37,20.4714440902137
"2726",56,38.0196846046395
"2731",23,26.2385188907861
"2741",37,46.2202
"2743",47,43.6179916139416
"2751",23,33.8527617973623
"2757",1,23.2660129688473
"2763",47,38.0741606375508
"2767",56,43.1101666666667
"2772",22,41.0970482032734
"2774",1,23.2660129688473
"2775",23,44.3788810701376
"2778",2,16.0919918322637
"2782",37,35.5578106060606
"2783",37,39.3656439393939
"2785",74,32.6068859888478
"2787",23,32.3381494074553
"2793",23,25.7097090701112
"2794",37,28.7216995670996
"2795",69,48.5851753811772
"2799",23,37.514338011988
"2801",1,36.9424885854458
"2802",23,33.5054857142857
"2806",64,44.66509153741
"2823",23,34.4138020923521
"2826",47,34.196520347947
"2827",37,37.3734313131313
"2837",23,40.2566
"2846",37,37.8028023809524
"2847",37,34.196520347947
"2852",56,41.7170428571429
"2853",69,38.4565619047619
"2854",47,50.6858043207804
"2857",74,36.9035538461538
"2863",73,34.7943854473042
"2864",37,46.2788047619048
"2865",13,35.4557626984127
"2866",37,33.2450514366241
"2874",69,41.622109976693
"2881",38,31.0873711577125
"2884",22,45.7023979494571
"2886",56,41.0243506791046
"2888",23,34.6136095238095
"2897",56,46.8620548075113
"2901",23,33.1595525121798
"2902",56,39.2578988922189
"2906",47,31.732726867176
"2907",56,30.6192827618967
"2910",23,39.1630570645121
"2911",23,44.6391956709957
"2915",47,37.6826365582131
"2922",2,40.9846642496392
"2925",47,40.5245391258403
"2934",23,37.1137363954881
"2935",2,45.3715
"2936",28,28.8028775783041
"2937",47,37.2820021694195
"2938",1,31.2562278609343
"2939",23,37.9240090845156
"2944",8,44.1417153174782
"2960",47,36.9952333333333
"2961",23,39.8880420249599
"2964",23,30.7400088697595
"2970",37,38.5187996258928
"2972",23,31.9645250601457
"2976",37,46.1295993339994
"2978",64,44.3067547619048
"2980",6,43.8692435871249
"2982",74,37.1285540187882
"2984",56,38.0948
"2985",56,30.2825012949039
"2986",13,42.1177120009429
"2990",23,31.7057944589612
"2992",37,28.686910162659
"2993",69,44.0212456582633
"2996",56,40.1881247834075
"3003",8,34.778712950938
"3004",47,39.2642907739123
"3010",23,31.4142109219427
"3012",17,47.7254285714286
"3022",47,29.78042709756
"3026",37,31.944884318059
"3027",13,37.5805333333333
"3032",47,37.767969047619
"3038",15,17.1762600448571
"3039",56,40.4965805378529
"3041",74,45.9045476190476
"3042",74,53.6605188443725
"3044",47,35.9336323944426
"3046",23,38.7521329304029
"3050",73,43.4886682539683
"3051",56,28.4571281214759
"3053",42,27.2294280904281
"3055",17,47.7367333333333
"3056",73,45.2194390609391
"3061",37,36.7460261904762
"3062",64,38.1120208069708
"3063",47,42.5017333333334
"3064",23,32.0979836940837
"3065",23,34.4206950832249
"3069",64,47.3878681282769
"3075",47,31.6899896430367
"3077",55,36.0373
"3078",47,31.5836733643704
"3079",23,37.8988404761905
"3081",23,36.1281258297258
"3084",23,40.816183982684
"3086",64,39.2215307069524
"3087",73,34.933034982401
"3088",23,39.071325229553
"3090",23,32.2428825861561
"3091",47,38.8606666666667
"3093",37,28.5593612701171
"3095",64,54.4697676577808
"3097",47,40.0947445066973
"3098",47,36.9644333333333
"3099",47,38.9489428571428
"3102",47,40.1633478963847
"3105",37,35.5929199911851
"3113",73,38.4701666666666
"3122",64,34.7343624555183
"3124",23,28.7981935061069
"3125",37,47.5230045454545
"3126",23,26.4042281018006
"3127",17,39.9743291391615
"3137",37,41.5001885534693
"3140",2,45.4251528249528
"3149",23,30.8073732376099
"3150",23,34.2066416818814
"3152",69,40.5205356192999
"3153",23,31.0855113680437
"3158",23,41.2612838827839
"3160",47,47.3878681282769
"3161",37,29.660171006771
"3164",37,30.8045104336416
"3168",69,35.9906326606708
"3170",37,32.4055332549536
"3171",23,42.8391038536627
"3182",47,40.3092399507493
"3188",23,33.3816766147881
"3191",64,36.6464185434131
"3192",47,44.7214337624364
"3202",45,31.238101978046
"3203",37,27.6289487305093
"3205",6,34.4749242923743
"3208",37,38.308096969697
"3209",23,34.0944952380952
"3210",37,38.0007014781515
"3212",47,35.5442797924298
"3219",47,37.1688429108723
"3220",37,40.5098962184874
"3221",47,30.3990127261613
"3223",56,48.1912333333333
"3224",37,30.4873802114792
"3225",37,33.3787782044984
"3226",56,48.7441061987032
"3229",23,45.8023593149541
"3234",69,36.4303056261513
"3235",2,37.622562273725
"3240",47,32.6278666876057
"3248",47,28.5402020701521
"3249",37,39.3015363625822
"3250",37,32.3403689542484
"3253",37,41.8592818181818
"3259",6,45.7340513373201
"3261",56,39.2253721066515
"3268",37,42.1190627926896
"3271",37,32.2221962664872
"3275",56,29.7311876174849
"3278",64,49.0101960616809
"3281",47,41.831222027972
"3283",64,35.7850602277813
"3284",1,23.2660129688473
"3286",1,23.2660129688473
"3291",37,38.6537644126872
"3294",64,23.2660129688473
"3295",47,35.5374073632083
"3296",74,48.8898191530692
"3303",2,12.0808325674326
"3310",24,36.1286241400327
"3311",56,39.2178818860878
"3313",23,40.2706682854007
"3314",23,37.2995616767793
"3316",47,38.9398216450216
"3317",10,43.2459880952381
"3319",73,26.4236035409035
"3321",6,18.6728651946446
"3322",23,32.9866700923324
"3323",37,29.4084614330114
"3324",23,29.9558839835509
"3325",37,38.1978671953391
"3328",8,51.3258724469975
"3334",56,45.0616166666667
"3341",47,28.857067515627
"3343",56,47.6077349376114
"3350",64,31.7114333333333
"3351",23,41.2934402300286
"3352",37,44.4533945583656
"3356",37,35.5844492507493
"3357",6,39.9415692307692
"3360",35,50.8958674603175
"3365",10,17.5162659650807
